Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3PMI4KNOSTJABSR9OHT4N5OSHSQN1M,2014-05-28 22:04:10 -0700,2014-05-28 23:10:22 -0700,AssignmentPayment,,A3UUGGLWKHBFQ7,-0.020,3VLL1PIENQZTLI5Z315YEFLCEC0OZI,3QAPZX2QN5OLYA7Y2BZBQNA65MK20N
3Q3950UFFFGF60M0P6741TI0P1DIMG,2014-05-28 22:04:10 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,3VLL1PIENQZTLI5Z315YEFLCEC0OZI,3QAPZX2QN5OLYA7Y2BZBQNA65MK20N
36YAQILW0NX1UJFKFOW4YW9I6HT7VL,2014-05-28 22:02:37 -0700,2014-05-28 23:10:22 -0700,AssignmentPayment,,A3UUGGLWKHBFQ7,-0.020,39I4RL8QGJS3Q4VNEVKI0AB21VJH4B,33IZTU6J82CM0ZU7Z23OQJALDN4SXB
3W7QHKXIBFQ0ON8VT02MKIWEAX53GU,2014-05-28 22:02:37 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,39I4RL8QGJS3Q4VNEVKI0AB21VJH4B,33IZTU6J82CM0ZU7Z23OQJALDN4SXB
3T07FN44OO7A5CQ3108OJ6B17S4SNC,2014-05-28 22:03:55 -0700,2014-05-28 23:10:22 -0700,AssignmentPayment,,A3UUGGLWKHBFQ7,-0.020,3W31J70BAS7XNY9ADVTXW03ILP5KCW,333U7HK6IAQF3Q60L8TY4BG61MEJDJ
3UBBO1SOT89AHXVZT0AQG8DRH5OO8U,2014-05-28 22:03:55 -0700,2014-05-28 23:26:00 -0700,FeePayment,,Mechanical Turk,-0.005,3W31J70BAS7XNY9ADVTXW03ILP5KCW,333U7HK6IAQF3Q60L8TY4BG61MEJDJ
3JE4S4R4AK4E7UUXE5UV6Q78TDA3IE,2014-05-28 22:03:25 -0700,2014-05-28 23:37:45 -0700,AssignmentPayment,,APF6OZ879PRR4,-0.020,30UZJB2POHN6SFSODFEQ18G6IMX53Y,3HWRJOOET6DDUZ3Q4XDW2UPEXHSSE1
34HWZPCEAOW0F430JSQB5PCKLNXZ3D,2014-05-28 22:03:25 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,30UZJB2POHN6SFSODFEQ18G6IMX53Y,3HWRJOOET6DDUZ3Q4XDW2UPEXHSSE1
3M17CBE7V0Z3XC2HCNR86EKLFP9976,2014-05-28 22:03:59 -0700,2014-05-28 23:37:45 -0700,AssignmentPayment,,APF6OZ879PRR4,-0.020,32ZCLEW0BZVL63CW0FFRFL2C5JJJP9,3NPI0JQDAPGI6Q5V2BYX6BK4D77TPB
31S2VNLQKBCOWO0QOE1MJ17NC8U4SZ,2014-05-28 22:03:59 -0700,2014-05-28 23:25:58 -0700,FeePayment,,Mechanical Turk,-0.005,32ZCLEW0BZVL63CW0FFRFL2C5JJJP9,3NPI0JQDAPGI6Q5V2BYX6BK4D77TPB
3HECG0QXU5IFZ4K84VO91TY3S9R2BU,2014-05-28 22:03:13 -0700,2014-05-28 23:37:45 -0700,AssignmentPayment,,APF6OZ879PRR4,-0.020,3G3AJKPCXL3PCZLCOVO6MA65RRX4YY,3T111IHZ5F1KYOCWHXX5K6J7KISR91
3OF24VD6YC181759SUDSD176BGVXWM,2014-05-28 22:03:13 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,3G3AJKPCXL3PCZLCOVO6MA65RRX4YY,3T111IHZ5F1KYOCWHXX5K6J7KISR91
3J0DBZNN1Q5JBAP7DRF1D3XKODXL52,2014-05-28 22:05:38 -0700,2014-05-28 23:37:45 -0700,AssignmentPayment,,APF6OZ879PRR4,-0.020,3126F2F5F8EDVNQ4ME40I5PK0BNPEU,3GNCZX450JYDRU6MWB7GB6UCPIMAP7
3GG72H3ME0MSVOEXRBEIXQPPKPKGQB,2014-05-28 22:05:38 -0700,2014-05-28 23:26:00 -0700,FeePayment,,Mechanical Turk,-0.005,3126F2F5F8EDVNQ4ME40I5PK0BNPEU,3GNCZX450JYDRU6MWB7GB6UCPIMAP7
3NYITOMBLX0A7OI48D2WDPADCFL0PS,2014-05-28 22:03:49 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,34YWR3PJ28LJD6D10YF2RT9J89MX04,3SUWZRL0MZO8715TXKAT1PTMFST6ER
3LU6COC0WEQW5UXGHKLETTW8AVLWAG,2014-05-28 22:03:49 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,34YWR3PJ28LJD6D10YF2RT9J89MX04,3SUWZRL0MZO8715TXKAT1PTMFST6ER
39YA3K8MOVVNC8F0UPBVJHZVY3M0VD,2014-05-28 22:04:05 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,38DCH97KHHD66FDB0SUGFQSMAF5JQ0,3CPLWGV3MPAZJQK4OQGOBMEXJL2N98
3G8HY3EPCVZXFLAJ3KDOPF7B8QYWGS,2014-05-28 22:04:05 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,38DCH97KHHD66FDB0SUGFQSMAF5JQ0,3CPLWGV3MPAZJQK4OQGOBMEXJL2N98
3ZMA65KZ4A8FGXKVU4CD72WGEEU0XG,2014-05-28 22:04:06 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,366FYU4PTG0CKWTO9MZSMO3L61IKEP,379J5II41PRQQM80KOGVQ8BJ5NJEL8
33CVHR749TJBBCGET8DRARKRN3QWIK,2014-05-28 22:04:06 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,366FYU4PTG0CKWTO9MZSMO3L61IKEP,379J5II41PRQQM80KOGVQ8BJ5NJEL8
3ONRE5TGLU4PMQNFN7AZ54T8C39919,2014-05-28 22:03:43 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,3Z56AA6EK4B3X50COGTAPD3CE8OM6A,3VNL7UK1XGU6FDG1O82SUH60B1KFTU
3AFZ9NTGOP1LYTNL4H507S8HKJC4MN,2014-05-28 22:03:43 -0700,2014-05-28 23:25:58 -0700,FeePayment,,Mechanical Turk,-0.005,3Z56AA6EK4B3X50COGTAPD3CE8OM6A,3VNL7UK1XGU6FDG1O82SUH60B1KFTU
3HECG0QXU5IFZ4K84VO91TY3S9QB22,2014-05-28 22:02:40 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,3ECKRY5B1Q7JPWUW56STUIPQ231ZIY,3S96KQ6I9NF9HT25X2726H3FZO1TDU
34VC3U0JFAO5VYCZZ6DFH5HVL0S6NA,2014-05-28 22:02:40 -0700,2014-05-28 23:25:58 -0700,FeePayment,,Mechanical Turk,-0.005,3ECKRY5B1Q7JPWUW56STUIPQ231ZIY,3S96KQ6I9NF9HT25X2726H3FZO1TDU
32N4TNCUS2W77HDYH3C27XCVF3LMNT,2014-05-28 22:03:44 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,3YD0MU1NC2CLZ45SAN8XM088F2KA7E,3I0BTBYZAYWBZV05VW66ZRBBK1BY0W
3D2AEAFL78H0LBKWV5XLWBH55WOI8S,2014-05-28 22:03:44 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,3YD0MU1NC2CLZ45SAN8XM088F2KA7E,3I0BTBYZAYWBZV05VW66ZRBBK1BY0W
3CFA9J1JSW09ZASSP4VGQV19T8VN54,2014-05-28 22:04:22 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,3RWO3EJELHKEBMWSAQ9LBL6QB2JP1B,3B3WTRP3DCD3U4VB27I4JYBZ8QC29X
33KLL5W1BY66RFKSHZELI225Z2AIQ3,2014-05-28 22:04:22 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,3RWO3EJELHKEBMWSAQ9LBL6QB2JP1B,3B3WTRP3DCD3U4VB27I4JYBZ8QC29X
33L3VP70JVY4BWX1DQYXVKP8FF2V4O,2014-05-28 22:05:43 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,3JHB4BPSFKKH0302EG33QWEJEAUQ9D,34PGFRQONPMECW6R23YOWZ5R82IWJ3
3CZ0VS4FH4GY817WUU45RZ3HLG5QPN,2014-05-28 22:05:43 -0700,2014-05-28 23:25:59 -0700,FeePayment,,Mechanical Turk,-0.005,3JHB4BPSFKKH0302EG33QWEJEAUQ9D,34PGFRQONPMECW6R23YOWZ5R82IWJ3
3Q0YFSV5Q7CA436RSYP4905IC0L0NX,2014-05-28 22:05:04 -0700,2014-05-28 23:38:03 -0700,AssignmentPayment,,A2177AC2UEBK1U,-0.020,3RKHNXPHGW7T9SQAZMEXQ6POSPBUKF,3WMOAN2SRC8XGXX7RRLK343UADJNVM
3SNZGE9MHRMIM641KM10X2QDK7MW8D,2014-05-28 22:05:04 -0700,2014-05-28 23:25:58 -0700,FeePayment,,Mechanical Turk,-0.005,3RKHNXPHGW7T9SQAZMEXQ6POSPBUKF,3WMOAN2SRC8XGXX7RRLK343UADJNVM
